"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"70",7,15,32880.9041515719,-22284.8624989715,"shift",138,3,2248,2241,1319,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Pareas_atayal","Asthenodipsas_malaccanus","Gyalopion_quadrangulare","Anilios_wiedii","","","","","","","","","","","","","",""
"71",7,15,32529.3398481609,-22108.080347266,"shift",139,4,2248,2241,1319,2473,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Pareas_atayal","Asthenodipsas_malaccanus","Gyalopion_quadrangulare","Anilios_wiedii","Cercosaura_schreibersii","Loxopholis_percarinatum","","","","","","","","","","","",""
"72",7,15,32467.1055504497,-22075.9631984104,"shift",140,5,2248,2241,1319,2473,1324,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","Pareas_atayal","Asthenodipsas_malaccanus","Gyalopion_quadrangulare","Anilios_wiedii","Cercosaura_schreibersii","Loxopholis_percarinatum","Gyalopion_quadrangulare","Achalinus_spinalis","","","","","","","","","",""
"73",7,15,23749.6016994168,-17587.211272894,"censored",270,1,1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","","","","","","","","","","","","","","","","","",""
"74",7,15,17537.6945985365,-14346.2577224538,"censored",405,2,1321,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","","","","","",""
"75",7,15,11662.1750665934,-11273.4979564823,"censored",540,3,1321,1326,2015,NA,NA,NA,NA,NA,NA,NA,"Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","","","",""
"76",7,15,6537.41444727535,-8576.11764682322,"censored",675,4,2584,1321,1326,2015,NA,NA,NA,NA,NA,NA,"Pachydactylus_capensis","Coleonyx_variegatus","Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","","","",""
"77",7,15,0,-5172.41042318555,"censored",810,5,2339,2584,1321,1326,2015,NA,NA,NA,NA,NA,"Liolaemus_lutzae","Diploglossus_lessonae","Pachydactylus_capensis","Coleonyx_variegatus","Gyalopion_quadrangulare","Tropidophis_melanurus","Gyalopion_quadrangulare","Bothrops_moojeni","Psammophis_subtaeniatus","Boaedon_lineatus","","","","","","","","","",""
"78",8,15,34661.7343224313,-23320.8759520709,"base",135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"79",8,15,33847.9088449802,-22912.9632133453,"shift",136,1,2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilabothrus_striatus","Uropeltis_pulneyensis","","","","","","","","","","","","","","","","","",""
