"sim","nvar","aic","logL","type","npar","nshifts","shiftnodes.1","shiftnodes.2","shiftnodes.3","shiftnodes.4","shiftnodes.5","shiftnodes.6","shiftnodes.7","shiftnodes.8","shiftnodes.9","shiftnodes.10","span.1","span.2","span.3","span.4","span.5","span.6","span.7","span.8","span.9","span.10","span.11","span.12","span.13","span.14","span.15","span.16","span.17","span.18","span.19","span.20"
"76",7,10,216.386547737364,7596.72881749236,"censored",325,4,436,273,459,326,NA,NA,NA,NA,NA,NA,"Gerrhonotus_infernalis","Heloderma_horridum","Sonora_semiannulata","Acutotyphlops_kunuaensis","Amphisbaena_alba","Diplometopon_zarudnyi","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","","","",""
"77",7,10,0,7769.92209136104,"censored",390,5,450,436,273,459,326,NA,NA,NA,NA,NA,"Ichnotropis_capensis","Amphisbaena_alba","Gerrhonotus_infernalis","Heloderma_horridum","Sonora_semiannulata","Acutotyphlops_kunuaensis","Amphisbaena_alba","Diplometopon_zarudnyi","Psammophis_sibilans","Boaedon_fuliginosus","","","","","","","","","",""
"78",8,10,1242.09011974747,6761.88658682418,"base",65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","",""
"79",8,10,778.664120554771,6994.59958642052,"shift",66,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"80",8,10,715.949363518499,7026.95696493866,"shift",67,2,273,530,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Delma_borea","Saltuarius_cornutus","","","","","","","","","","","","","","","",""
"81",8,10,643.335646484822,7064.2638234555,"shift",68,3,273,530,271,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Delma_borea","Saltuarius_cornutus","Sonora_semiannulata","Ichnotropis_capensis","","","","","","","","","","","","","",""
"82",8,10,607.084721182435,7083.38928610669,"shift",69,4,273,530,271,350,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Delma_borea","Saltuarius_cornutus","Sonora_semiannulata","Ichnotropis_capensis","Chilabothrus_striatus","Liasis_mackloti","","","","","","","","","","","",""
"83",8,10,572.254621951555,7101.80433572213,"shift",70,5,273,530,271,350,432,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Delma_borea","Saltuarius_cornutus","Sonora_semiannulata","Ichnotropis_capensis","Chilabothrus_striatus","Liasis_mackloti","Trioceros_hoehnelii","Chamaeleo_calyptratus","","","","","","","","","",""
"84",8,10,665.2691481168,7115.29707263951,"censored",130,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","","","","","","","","","","","","","","","","","",""
"85",8,10,369.042480076816,7328.4104066595,"censored",195,2,273,353,NA,NA,NA,NA,NA,NA,NA,NA,"Sonora_semiannulata","Acutotyphlops_kunuaensis","Chilabothrus_striatus","Lichanura_trivirgata","","","","","","","","","","","","","","","",""
