family,genus,species,sample,institution,voucher,type,inTopoConstraint,num_total,avg_length,SRR
Colubridae,Sinonatrix,Sinonatrix_yunnanensis,CAS224485,CAS,CAS224485,newly collected,TRUE,5025,1066,SAMN09221143
Colubridae,Calamaria,Calamaria_pavimentata,CAS235364,CAS,CAS235364,newly collected,TRUE,4920,1174,SAMN09221163
Colubridae,Pseudoxenodon,Pseudoxenodon_macrops,CAS245413,CAS,CAS245413,newly collected,TRUE,5038,1217,SAMN09221169
Scincidae,Lampropholis,Lampropholis_mirabilis,CCM008,,NA,newly collected,TRUE,5142,935,SAMN32602815
Scincidae,Cryptoblepharus,Cryptoblepharus_metallicus,CCM0391,,NA,newly collected,TRUE,5216,756,SAMN32602790
Scincidae,Cryptoblepharus,Cryptoblepharus_juno,CCM0667,,NA,newly collected,TRUE,5196,796,SAMN32602789
Gekkonidae,Gehyra,Gehyra_xenopus,CCM1723,,NA,newly collected,TRUE,5218,866,SAMN32602717
Gekkonidae,Heteronotia,Heteronotia_planiceps,CCM1823,,NA,newly collected,TRUE,5239,851,SAMN32602721
Gekkonidae,Gehyra,Gehyra_nana,CCM1826,,NA,newly collected,TRUE,5159,844,SAMN32602713
Scincidae,Proablepharus,Proablepharus_tenuis,CCM2474,,NA,newly collected,TRUE,5210,917,SAMN32602840
Scincidae,Cryptoblepharus,Cryptoblepharus_zoticus,CCM2605,,NA,newly collected,TRUE,5217,844,SAMN32602792
Diplodactylidae,Crenadactylus,Crenadactylus_naso,CCM3302,,NA,newly collected,TRUE,5071,895,SAMN32602652
Diplodactylidae,Oedura,Oedura_luritja,CCM5974,,NA,newly collected,TRUE,5210,888,SAMN32602658
Scincidae,Carlia,Carlia_amax,CCM6582,,NA,newly collected,TRUE,5183,953.9673934,SAMN36389996
Tropiduridae,Tropidurus,Tropidurus_montanus,CHUNB06741,CHUNB,CHUNB06741,newly collected,TRUE,3871,388,SAMN32602876
Scincidae,Varzea,Varzea_bistriata,CHUNB09350,CHUNB,CHUNB09350,newly collected,TRUE,5160,935,SAMN23818194
Scincidae,Manciola,Manciola_guaporicola,CHUNB10472,CHUNB,CHUNB10472,newly collected,TRUE,5168,1093,SAMN23818169
Polychrotidae,Polychrus,Polychrus_acutirostris,CHUNB11470,CHUNB,CHUNB11470,newly collected,FALSE,5254,996,SAMN15718129
Gymnophthalmidae,Cercosaura,Cercosaura_eigenmanni,CHUNB18028,CHUNB,CHUNB18028,newly collected,TRUE,5068,836,SAMN23818054
Tropiduridae,Stenocercus,Stenocercus_sinesaccus,CHUNB18049,CHUNB,CHUNB18049,newly collected,TRUE,5276,1071,SAMN32602872
Alopoglossidae,Alopoglossus,Alopoglossus_angulatus,CHUNB18599,CHUNB,CHUNB18599,newly collected,FALSE,5005,719,SAMN15718124
Sphaerodactylidae,Gonatodes,Gonatodes_humeralis,CHUNB22726,CHUNB,CHUNB22726,newly collected,TRUE,5266,749,SAMN23818115
Diploglossidae,Ophiodes,Ophiodes_striatus,CHUNB26103,CHUNB,CHUNB26103,newly collected,TRUE,5212,875,SAMN32602663
Amphisbaenidae,Amphisbaena,Amphisbaena_kraoh,CHUNB30676,CHUNB,CHUNB30676,newly collected,TRUE,5088,1073,SAMN32602528
Tropiduridae,Tropidurus,Tropidurus_insulanus,CHUNB30749,CHUNB,CHUNB30749,newly collected,TRUE,5296,827,SAMN23818323
Teiidae,Kentropyx,Kentropyx_striata,CHUNB30831,CHUNB,CHUNB30831,newly collected,TRUE,5181,927,SAMN32602866
Colubridae,Apostolepis,Apostolepis_polylepis,CHUNB32061,CHUNB,CHUNB32061,newly collected,TRUE,3540,627,SAMN09221185
Colubridae,Oxyrhopus,Oxyrhopus_trigeminus,CHUNB32133,CHUNB,CHUNB32133,newly collected,TRUE,4846,920,SAMN06705320
Tropiduridae,Plica,Plica_umbra,CHUNB32324,CHUNB,CHUNB32324,newly collected,TRUE,5265,1032,SAMN23818255
Gymnophthalmidae,Tretioscincus,Tretioscincus_oriximinensis,CHUNB32340,CHUNB,CHUNB32340,newly collected,TRUE,5058,944,SAMN32602738
Scincidae,Aspronema,Aspronema_dorsivittatum,CHUNB36266,CHUNB,CHUNB36266,newly collected,TRUE,5183,1112,SAMN32602773
Colubridae,Lygophis,Lygophis_dilepis,CHUNB36556,CHUNB,CHUNB36556,newly collected,TRUE,4930,896,SAMN09221186
Tropiduridae,Stenocercus,Stenocercus_dumerilii,CHUNB37268,CHUNB,CHUNB37268,newly collected,TRUE,5180,693,SAMN32602870
Gymnophthalmidae,Vanzosaura,Vanzosaura_rubricauda,CHUNB37303,CHUNB,CHUNB37303,newly collected,TRUE,5082,872,SAMN23818329
Tropiduridae,Uranoscodon,Uranoscodon_superciliosus,CHUNB37546,CHUNB,CHUNB37546,newly collected,TRUE,5295,923,SAMN15718132
Amphisbaenidae,Amphisbaena,Amphisbaena_talisiae,CHUNB38468,CHUNB,CHUNB38468,newly collected,TRUE,4995,611,SAMN32602532
Gymnophthalmidae,Potamites,Potamites_ecpleopus,CHUNB38613,CHUNB,CHUNB38613,newly collected,TRUE,5012,932,SAMN32602736
Tropiduridae,Plica,Plica_plica,CHUNB38615,CHUNB,CHUNB38615,newly collected,TRUE,5205,799,SAMN32602868
Colubridae,Helicops,Helicops_modestus,CHUNB38641,CHUNB,CHUNB38641,newly collected,TRUE,5008,934,SAMN23818140
Amphisbaenidae,Amphisbaena,Amphisbaena_anaemariae,CHUNB38647,CHUNB,CHUNB38647,newly collected,TRUE,5126,765,SAMN32602520
Colubridae,Hydrodynastes,Hydrodynastes_bicinctus,CHUNB38982,CHUNB,CHUNB38982,newly collected,TRUE,5010,970,SAMN32602593
Gymnophthalmidae,Bachia,Bachia_flavescens,CHUNB40056,CHUNB,CHUNB40056,newly collected,TRUE,5098,785,SAMN32602731
Gekkonidae,Hemidactylus,Hemidactylus_mabouia,CHUNB40063,CHUNB,CHUNB40063,newly collected,TRUE,5145,1076,SAMN23818143
